failure_id,device_id,timestamp,failure_type,severity,downtime_minutes
1,D0001,2026-01-02 14:00:00,Communication Failure,Minor,13
2,D0001,2026-01-02 17:00:00,Communication Failure,Minor,134
3,D0001,2026-01-03 07:00:00,Communication Failure,Minor,79
4,D0001,2026-01-04 23:00:00,Communication Failure,Minor,94
5,D0001,2026-01-13 17:00:00,Firmware Crash,Minor,193
6,D0001,2026-01-16 07:00:00,Communication Failure,Minor,102
7,D0001,2026-01-16 17:00:00,Firmware Crash,Minor,102
8,D0001,2026-01-17 07:00:00,Communication Failure,Minor,207
9,D0001,2026-01-19 13:00:00,Communication Failure,Minor,200
10,D0001,2026-01-26 10:00:00,Communication Failure,Minor,18
11,D0001,2026-01-28 05:00:00,Communication Failure,Minor,36
12,D0001,2026-01-28 14:00:00,Communication Failure,Minor,34
13,D0001,2026-01-29 17:00:00,Firmware Crash,Minor,212
14,D0001,2026-02-01 13:00:00,Firmware Crash,Minor,178
15,D0001,2026-02-03 14:00:00,Firmware Crash,Minor,99
16,D0001,2026-02-06 18:00:00,Communication Failure,Minor,147
17,D0001,2026-02-09 17:00:00,Firmware Crash,Minor,44
18,D0001,2026-02-13 18:00:00,Communication Failure,Minor,176
19,D0001,2026-02-21 06:00:00,Communication Failure,Minor,179
20,D0001,2026-02-22 13:00:00,Firmware Crash,Minor,29
21,D0001,2026-02-25 16:00:00,Communication Failure,Minor,27
22,D0001,2026-03-01 16:00:00,Communication Failure,Minor,113
23,D0001,2026-03-06 03:00:00,Communication Failure,Minor,200
24,D0001,2026-03-07 16:00:00,Firmware Crash,Minor,90
25,D0001,2026-03-10 19:00:00,Communication Failure,Minor,140
26,D0001,2026-03-11 16:00:00,Communication Failure,Minor,158
27,D0001,2026-03-14 06:00:00,Communication Failure,Minor,193
28,D0001,2026-03-16 06:00:00,Communication Failure,Minor,226
29,D0001,2026-03-16 12:00:00,Communication Failure,Minor,236
30,D0001,2026-03-18 09:00:00,Communication Failure,Minor,186
31,D0001,2026-03-19 02:00:00,Communication Failure,Minor,137
32,D0001,2026-03-20 16:00:00,Firmware Crash,Minor,113
